Département;Circonscription;Députés;Email;Numéro de circonscription;Prénom;Nom;identifiant;Commission;Sign PPL Peytavie;URL3;Région;Profession;Groupe politique (complet);Groupe politique (abrégé);;;
Ille-et-Vilaine;8-Mickaël Bouloux;Mickaël Bouloux;mickael.bouloux@assemblee-nationale.fr;8;Mickaël;Bouloux;794094;Finances, de l'économie générale et du contrôle budgétaire;794094;https://www.assemblee-nationale.fr/dyn/deputes/PA794094;Bretagne;Ingénieur et cadre technique d'entreprise;Socialistes et apparentés;SOC;;;
Rhône;14-Idir Boumertit;Idir Boumertit;idir.boumertit@assemblee-nationale.fr;14;Idir;Boumertit;794938;Affaires culturelles et de l'éducation;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA794938;Auvergne-Rhône-Alpes;Employé administratif d'entreprise;La France insoumise - Nouveau Front Populaire;LFI-NFP;;;
Hérault;4-Manon Bouquin;Manon Bouquin;manon.bouquin@assemblee-nationale.fr;4;Manon;Bouquin;841131;Développement durable et de l'aménagement du territoire;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA841131;Occitanie;(33) - Cadre de la fonction publique;Rassemblement National;RN;;;
Ille-et-Vilaine;7-Jean-Luc Bourgeaux;Jean-Luc Bourgeaux;jean-luc.bourgeaux@assemblee-nationale.fr;7;Jean-Luc;Bourgeaux;342240;Affaires économiques;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA342240;Bretagne;Agriculteur;Droite Républicaine;DR;;;
Seine-Saint-Denis;4-Soumya Bourouaha;Soumya Bourouaha;soumya.bourouaha@assemblee-nationale.fr;4;Soumya;Bourouaha;720838;Affaires culturelles et de l'éducation;720838;https://www.assemblee-nationale.fr/dyn/deputes/PA720838;Ile-de-France;Professeure;Gauche Démocrate et Républicaine;GDR;;;
Calvados;5-Bertrand Bouyx;Bertrand Bouyx;bertrand.bouyx@assemblee-nationale.fr, Bertrand.Bouyx@assemblee-nationale.fr;5;Bertrand;Bouyx;719032;Affaires étrangères;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA719032;Normandie;Pharmacien;Horizons & Indépendants;HOR;;;
Allier;2-Jorys Bovet;Jorys Bovet;jorys.bovet@assemblee-nationale.fr;2;Jorys;Bovet;793182;Affaires étrangères;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA793182;Auvergne-Rhône-Alpes;Chauffeur-livreur;Rassemblement National;RN;;;
Val-de-Marne;3-Louis Boyard;Louis Boyard;louis.boyard@assemblee-nationale.fr;3;Louis;Boyard;795318;Affaires sociales;795318;https://www.assemblee-nationale.fr/dyn/deputes/PA795318;Ile-de-France;Elève, étudiant;La France insoumise - Nouveau Front Populaire;LFI-NFP;;;
Loire-Atlantique;9-Jean-Michel Brard;Jean-Michel Brard;jean-michel.brard@assemblee-nationale.fr;9;Jean-Michel;Brard;841339;Développement durable et de l'aménagement du territoire;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA841339;Pays de la Loire;(22) - Commerçant et assimilé;Horizons & Indépendants;HOR;;;
Yvelines;5-Yaël Braun-Pivet;Yaël Braun-Pivet;Yael.Braun-Pivet@assemblee-nationale.fr, yael.braun-pivet@assemblee-nationale.fr;5;Yaël;Braun-Pivet;721908;Développement durable et de l'aménagement du territoire;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA721908;Ile-de-France;Avocate;Ensemble pour la République;EPR;;;
Hauts-de-Seine;13-Maud Bregeon;Maud Bregeon;maud.bregeon@assemblee-nationale.fr;13;Maud;Bregeon;795990;Affaires sociales;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA795990;Ile-de-France;Ingénieur et cadre technique d'entreprise;Ensemble pour la République;EPR;;;
Ain;1-Xavier Breton;Xavier Breton;xavier.breton@assemblee-nationale.fr, Xavier.Breton@assemblee-nationale.fr;1;Xavier;Breton;330008;Affaires culturelles et de l'éducation;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA330008;Auvergne-Rhône-Alpes;Cadre territorial;Droite Républicaine;DR;;;
Côte-d'Or;4-Hubert Brigand;Hubert Brigand;hubert.brigand@assemblee-nationale.fr;4;Hubert;Brigand;793508;Défense nationale et des forces armées;793508;https://www.assemblee-nationale.fr/dyn/deputes/PA793508;Bourgogne-Franche-Comté;Ancienne profession intermédiaire;Droite Républicaine;DR;;;
Rhône;5-Blandine Brocard;Blandine Brocard;Blandine.Brocard@assemblee-nationale.fr, blandine.brocard@assemblee-nationale.fr;5;Blandine;Brocard;721336;Lois constitutionnelles, de la législation et de l'administration générale de la République;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA721336;Auvergne-Rhône-Alpes;Employée (secteur privé);Les Démocrates;Dem;;;
Loiret;5-Anthony Brosse;Anthony Brosse;anthony.brosse@assemblee-nationale.fr;5;Anthony;Brosse;794330;Développement durable et de l'aménagement du territoire;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA794330;Centre-Val de Loire;Profession intermédiaire de la santé et du travail social;Ensemble pour la République;EPR;;;
Jura;1-Danielle Brulebois;Danielle Brulebois;danielle.brulebois@assemblee-nationale.fr, Danielle.Brulebois@assemblee-nationale.fr;1;Danielle;Brulebois;719890;Développement durable et de l'aménagement du territoire;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA719890;Bourgogne-Franche-Comté;Retraitée de l'enseignement;Ensemble pour la République;EPR;;;
Ardèche;3-Fabrice Brun;Fabrice Brun;Fabrice.Brun@assemblee-nationale.fr, fabrice.brun@assemblee-nationale.fr;3;Fabrice;Brun;718838;Affaires culturelles et de l'éducation;718838;https://www.assemblee-nationale.fr/dyn/deputes/PA718838;Auvergne-Rhône-Alpes;Industriel-Chef d'entreprise;Droite Républicaine;DR;;;
Eure;4-Philippe Brun;Philippe Brun;philippe.brun@assemblee-nationale.fr;4;Philippe;Brun;793624;Finances, de l'économie générale et du contrôle budgétaire;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA793624;Normandie;Magistrat administratif;Socialistes et apparentés;SOC;;;
Calvados;1-Joël Bruneau;Joël Bruneau;joel.bruneau@assemblee-nationale.fr;1;Joël;Bruneau;840817;Affaires culturelles et de l'éducation;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA840817;Normandie;(31) - Profession libérale;Libertés, Indépendants, Outre-mer et Territoires;LIOT;;;
Vendée;3-Stéphane Buchou;Stéphane Buchou;stephane.buchou@assemblee-nationale.fr, Stephane.Buchou@assemblee-nationale.fr;3;Stéphane;Buchou;722000;Affaires économiques;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA722000;Pays de la Loire;Cadre supérieur (secteur privé);Ensemble pour la République;EPR;;;
Bas-Rhin;4-Françoise Buffet;Françoise Buffet;francoise.buffet@assemblee-nationale.fr;4;Françoise;Buffet;794798;Affaires économiques;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA794798;Grand Est;Ancien artisan, commerçant, chef d'entreprise;Ensemble pour la République;EPR;;;
Ain;4-Jérôme Buisson;Jérôme Buisson;jerome.buisson@assemblee-nationale.fr;4;Jérôme;Buisson;793134;Affaires étrangères;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA793134;Auvergne-Rhône-Alpes;Professeur d'italien;Rassemblement National;RN;;;
Finistère;2-Pierre-Yves Cadalen;Pierre-Yves Cadalen;pierre-yves.cadalen@assemblee-nationale.fr;2;Pierre-Yves;Cadalen;841023;Affaires étrangères;841023;https://www.assemblee-nationale.fr/dyn/deputes/PA841023;Bretagne;(34) - Professeur, profession scientifique;La France insoumise - Nouveau Front Populaire;LFI-NFP;;;
Guadeloupe;4-Elie Califer;Elie Califer;elie.califer@assemblee-nationale.fr;4;Elie;Califer;795762;Affaires sociales;795762;https://www.assemblee-nationale.fr/dyn/deputes/PA795762;Guadeloupe;Ancien cadre;Socialistes et apparentés;SOC;;;
Hauts-de-Seine;5-Céline Calvez;Céline Calvez;celine.calvez@assemblee-nationale.fr, Celine.Calvez@assemblee-nationale.fr;5;Céline;Calvez;721750;Affaires culturelles et de l'éducation;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA721750;Ile-de-France;Consultante communication;Ensemble pour la République;EPR;;;
Pyrénées-Atlantiques;5-Colette Capdevielle;Colette Capdevielle;colette.capdevielle@assemblee-nationale.fr;5;Colette;Capdevielle;608264;Lois constitutionnelles, de la législation et de l'administration générale de la République;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA608264;Nouvelle-Aquitaine;Avocate;Socialistes et apparentés;SOC;;;
Français établis hors de France;2-Eléonore Caroit;Eléonore Caroit;eleonore.caroit@assemblee-nationale.fr;2;Eléonore;Caroit;795330;Affaires étrangères;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA795330;Français établis hors de France;Avocate;Ensemble pour la République;EPR;;;
Paris;18-Aymeric Caron;Aymeric Caron;aymeric.caron@assemblee-nationale.fr;18;Aymeric;Caron;796090;Affaires culturelles et de l'éducation;796090;https://www.assemblee-nationale.fr/dyn/deputes/PA796090;Ile-de-France;Profession de l'information, des arts et des spectacles;La France insoumise - Nouveau Front Populaire;LFI-NFP;;;
Hérault;8-Sylvain Carrière;Sylvain Carrière;sylvain.carriere@assemblee-nationale.fr;8;Sylvain;Carrière;793912;Affaires économiques;793912;https://www.assemblee-nationale.fr/dyn/deputes/PA793912;Occitanie;Employé de commerce;La France insoumise - Nouveau Front Populaire;LFI-NFP;;;
Haute-Corse;1-Michel Castellani;Michel Castellani;Michel.Castellani@assemblee-nationale.fr, michel.castellani@assemblee-nationale.fr;1;Michel;Castellani;719138;Finances, de l'économie générale et du contrôle budgétaire;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA719138;Corse;Professeur des Universités;Libertés, Indépendants, Outre-mer et Territoires;LIOT;;;
Aisne;3-Eddy Casterman;Eddy Casterman;eddy.casterman@assemblee-nationale.fr;3;Eddy;Casterman;840075;Finances, de l'économie générale et du contrôle budgétaire;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA840075;Hauts-de-France;(37) - Cadre administratif et commercial d'entreprise;Rassemblement National;RN;;;
Guyane;1-Jean-Victor Castor;Jean-Victor Castor;jean-victor.castor@assemblee-nationale.fr;1;Jean-Victor;Castor;795868;Développement durable et de l'aménagement du territoire;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA795868;Guyane;Cadre technique d'entreprise;Gauche Démocrate et Républicaine;GDR;;;
Val-d'Oise;6-Gabrielle Cathala;Gabrielle Cathala;gabrielle.cathala@assemblee-nationale.fr;6;Gabrielle;Cathala;842187;Lois constitutionnelles, de la législation et de l'administration générale de la République;842187;https://www.assemblee-nationale.fr/dyn/deputes/PA842187;Ile-de-France;Secrétaire générale de groupe parlementaire;La France insoumise - Nouveau Front Populaire;LFI-NFP;;;
Français établis hors de France;3-Vincent Caure;Vincent Caure;vincent.caure@assemblee-nationale.fr;3;Vincent;Caure;842311;Lois constitutionnelles, de la législation et de l'administration générale de la République;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA842311;Français établis hors de France;(33) - Cadre de la fonction publique;Ensemble pour la République;EPR;;;
Landes;2-Lionel Causse;Lionel Causse;Lionel.Causse@assemblee-nationale.fr, lionel.causse@assemblee-nationale.fr;2;Lionel;Causse;719922;Développement durable et de l'aménagement du territoire;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA719922;Nouvelle-Aquitaine;Autre cadre (secteur privé);Ensemble pour la République;EPR;;;
Gironde;1-Thomas Cazenave;Thomas Cazenave;thomas.cazenave@assemblee-nationale.fr;1;Thomas;Cazenave;793940;Finances, de l'économie générale et du contrôle budgétaire;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA793940;Nouvelle-Aquitaine;Cadre de la fonction publique;Ensemble pour la République;EPR;;;
Hauts-de-Seine;7-Pierre Cazeneuve;Pierre Cazeneuve;pierre.cazeneuve@assemblee-nationale.fr;7;Pierre;Cazeneuve;795864;Développement durable et de l'aménagement du territoire;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA795864;Ile-de-France;Cadre de la fonction publique;Ensemble pour la République;EPR;;;
Gers;1-Jean-René Cazeneuve;Jean-René Cazeneuve;jean-rene.cazeneuve@assemblee-nationale.fr, Jean-Rene.Cazeneuve@assemblee-nationale.fr;1;Jean-René;Cazeneuve;719472;Finances, de l'économie générale et du contrôle budgétaire;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA719472;Occitanie;Ingénieur;Ensemble pour la République;EPR;;;
Haute-Corse;2-François-Xavier Ceccoli;François-Xavier Ceccoli;francois-xavier.ceccoli@assemblee-nationale.fr;2;François-Xavier;Ceccoli;841047;Développement durable et de l'aménagement du territoire;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA841047;Corse;(23) - Chef d'entreprise de 10 salariés ou plus;Droite Républicaine;DR;;;
Essonne;8-Bérenger Cernon;Bérenger Cernon;berenger.cernon@assemblee-nationale.fr;8;Bérenger;Cernon;842037;Développement durable et de l'aménagement du territoire;842037;https://www.assemblee-nationale.fr/dyn/deputes/PA842037;Ile-de-France;(65) - Ouvrier qualifié de la manutention, du magasinage et du transport;La France insoumise - Nouveau Front Populaire;LFI-NFP;;;
Alpes-Maritimes;3-Bernard Chaix;Bernard Chaix;bernard.chaix@assemblee-nationale.fr;3;Bernard;Chaix;840701;Défense nationale et des forces armées;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA840701;Provence-Alpes-Côte d'Azur;(22) - Commerçant et assimilé;UDR;UDR;;;
Puy-de-Dôme;5-André Chassaigne;André Chassaigne;andre.chassaigne@assemblee-nationale.fr, Andre.Chassaigne@assemblee-nationale.fr;5;André;Chassaigne;267306;Affaires économiques;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA267306;Auvergne-Rhône-Alpes;Retraité de l'éducation nationale;Gauche Démocrate et Républicaine;GDR;;;
Isère;2-Cyrielle Chatelain;Cyrielle Chatelain;cyrielle.chatelain@assemblee-nationale.fr;2;Cyrielle;Chatelain;794008;Défense nationale et des forces armées;794008;https://www.assemblee-nationale.fr/dyn/deputes/PA794008;Auvergne-Rhône-Alpes;Collaboratrice de cabinet;Écologiste et Social;EcoS;;;
Ain;5-Marc Chavent;Marc Chavent;marc.chavent@assemblee-nationale.fr;5;Marc;Chavent;840721;Développement durable et de l'aménagement du territoire;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA840721;Auvergne-Rhône-Alpes;(33) - Cadre de la fonction publique;UDR;UDR;;;
Var;1-Yannick Chenevard;Yannick Chenevard;yannick.chenevard@assemblee-nationale.fr;1;Yannick;Chenevard;795908;Défense nationale et des forces armées;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA795908;Provence-Alpes-Côte d'Azur;Profession libérale;Ensemble pour la République;EPR;;;
Nord;19-Sébastien Chenu;Sébastien Chenu;Sebastien.Chenu@assemblee-nationale.fr, sebastien.chenu@assemblee-nationale.fr;19;Sébastien;Chenu;720468;Affaires étrangères;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA720468;Hauts-de-France;Conseiller en communication;Rassemblement National;RN;;;
Paris;6-Sophia Chikirou;Sophia Chikirou;sophia.chikirou@assemblee-nationale.fr;6;Sophia;Chikirou;791812;Affaires étrangères;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA791812;Ile-de-France;Chef d'entreprise de 10 salariés ou plus;La France insoumise - Nouveau Front Populaire;LFI-NFP;;;
Nord;14-Paul Christophe;Paul Christophe;paul.christophe@assemblee-nationale.fr, Paul.Christophe@assemblee-nationale.fr;14;Paul;Christophe;642868;Affaires étrangères;642868;https://www.assemblee-nationale.fr/dyn/deputes/PA642868;Hauts-de-France;Fonctionnaire de catégorie A;Horizons & Indépendants;HOR;;;
Drôme;1-Paul Christophle;Paul Christophle;paul.christophle@assemblee-nationale.fr;1;Paul;Christophle;840903;Lois constitutionnelles, de la législation et de l'administration générale de la République;840903;https://www.assemblee-nationale.fr/dyn/deputes/PA840903;Auvergne-Rhône-Alpes;(37) - Cadre administratif et commercial d'entreprise;Socialistes et apparentés;SOC;;;
Loir-et-Cher;2-Roger Chudeau;Roger Chudeau;roger.chudeau@assemblee-nationale.fr;2;Roger;Chudeau;794198;Affaires culturelles et de l'éducation;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA794198;Centre-Val de Loire;Inspecteur général de l'éducation nationale honoraire;Rassemblement National;RN;;;
Alpes-Maritimes;1-Éric Ciotti;Éric Ciotti;eric.ciotti@assemblee-nationale.fr, Eric.Ciotti@assemblee-nationale.fr;1;Éric;Ciotti;330240;Affaires étrangères;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA330240;Provence-Alpes-Côte d'Azur;(33) - Cadre de la fonction publique;UDR;UDR;;;
Pas-de-Calais;3-Bruno Clavet;Bruno Clavet;bruno.clavet@assemblee-nationale.fr;3;Bruno;Clavet;840159;Affaires culturelles et de l'éducation;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA840159;Hauts-de-France;(45) - Profession intermédiaire administrative de la fonction publique;Rassemblement National;RN;;;
Haute-Garonne;1-Hadrien Clouet;Hadrien Clouet;hadrien.clouet@assemblee-nationale.fr;1;Hadrien;Clouet;793736;Affaires sociales;793736;https://www.assemblee-nationale.fr/dyn/deputes/PA793736;Occitanie;Sociologue;La France insoumise - Nouveau Front Populaire;LFI-NFP;;;
Moselle;3-Nathalie Colin-Oesterlé;Nathalie Colin-Oesterlé;nathalie.colin-oesterle@assemblee-nationale.fr;3;Nathalie;Colin-Oesterlé;841431;Affaires sociales;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA841431;Grand Est;(31) - Profession libérale;Horizons & Indépendants;HOR;;;
Corse-du-Sud;2-Paul-André Colombani;Paul-André Colombani;Paul-Andre.Colombani@assemblee-nationale.fr, paul-andre.colombani@assemblee-nationale.fr;2;Paul-André;Colombani;719286;Affaires sociales;719286;https://www.assemblee-nationale.fr/dyn/deputes/PA719286;Corse;Médecin;Libertés, Indépendants, Outre-mer et Territoires;LIOT;;;
Charente;3-Caroline Colombier;Caroline Colombier;caroline.colombier@assemblee-nationale.fr;3;Caroline;Colombier;793548;Défense nationale et des forces armées;Non signataire;https://www.assemblee-nationale.fr/dyn/deputes/PA793548;Nouvelle-Aquitaine;Ancienne avocate / Ancien cadre;Rassemblement National;RN;;;
